,index,Claim_x,pred_y,0_proba,1_proba,Unnamed: 0,ID,Agency,Agency Type,Distribution Channel,Product Name,Claim_y,Duration,Destination,Net Sales,Commision (in value),Gender,Age
0,12,0,1,0.4472865058361699,0.5527134941638301,3585,62039,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,57,FRANCE,98.0,0.0,,35
1,34,0,1,0.18485376310117263,0.8151462368988274,44980,52193,C2B,Airlines,Online,Annual Silver Plan,0,366,SINGAPORE,216.0,54.0,F,31
2,48,0,1,0.40287031440705434,0.5971296855929457,6294,31265,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,25,SWITZERLAND,112.0,0.0,,36
3,49,0,1,0.041933091208102846,0.9580669087918972,21838,55180,C2B,Airlines,Online,Silver Plan,0,160,SINGAPORE,288.5,72.13,M,21
4,58,0,1,0.49904321241263017,0.5009567875873698,25466,1778,C2B,Airlines,Online,Gold Plan,0,2,SINGAPORE,32.25,8.06,F,30
5,83,0,1,0.41738813719139767,0.5826118628086023,16602,44032,CCR,Travel Agency,Offline,Comprehensive Plan,0,30,THAILAND,29.0,9.57,M,26
6,87,0,1,0.3607668944899549,0.6392331055100451,28850,38654,C2B,Airlines,Online,Silver Plan,0,8,SINGAPORE,18.5,4.63,M,38
7,88,0,1,0.3467797350421862,0.6532202649578138,15100,35225,C2B,Airlines,Online,Bronze Plan,0,18,SINGAPORE,29.5,7.38,F,39
8,100,0,1,0.3937213275532875,0.6062786724467125,43101,41023,KML,Travel Agency,Online,Value Plan,0,11,UNITED KINGDOM,75.0,28.5,M,48
9,101,0,1,0.2623839386518373,0.7376160613481627,49378,61841,C2B,Airlines,Online,Bronze Plan,0,16,SINGAPORE,67.0,16.75,M,32
10,103,0,1,0.3607632138510841,0.6392367861489159,44154,24754,C2B,Airlines,Online,Bronze Plan,0,4,SINGAPORE,17.55,4.39,F,35
11,105,0,1,0.183184412113095,0.816815587886905,10351,47237,C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,216.0,54.0,M,30
12,109,0,1,0.35806056790526064,0.6419394320947394,23598,44041,C2B,Airlines,Online,Bronze Plan,0,10,SINGAPORE,16.0,4.0,F,33
13,112,0,1,0.18928716344119567,0.8107128365588043,2576,61381,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,0,9,UNITED KINGDOM,48.5,31.53,F,44
14,117,0,1,0.3423004564343526,0.6576995435656474,29630,38477,C2B,Airlines,Online,Bronze Plan,0,3,SINGAPORE,15.0,3.75,F,26
15,120,0,1,0.18993232361888546,0.8100676763811145,41340,46298,C2B,Airlines,Online,Annual Silver Plan,0,369,SINGAPORE,216.0,54.0,F,34
16,123,0,1,0.35140115527163485,0.6485988447283652,6485,42633,C2B,Airlines,Online,Bronze Plan,0,28,SINGAPORE,16.0,4.0,M,31
17,124,0,1,0.3011913875691278,0.6988086124308722,50066,33953,C2B,Airlines,Online,Bronze Plan,0,27,SINGAPORE,53.5,13.38,F,39
18,129,0,1,0.3716516294478801,0.6283483705521199,2206,53124,C2B,Airlines,Online,Bronze Plan,0,7,SINGAPORE,24.0,6.0,F,44
19,137,0,1,0.3427259909829562,0.6572740090170438,12584,2901,C2B,Airlines,Online,Bronze Plan,0,21,SINGAPORE,22.1,5.53,M,32
20,141,0,1,0.31436086835240207,0.6856391316475979,24690,35224,C2B,Airlines,Online,Bronze Plan,0,11,SINGAPORE,29.5,7.38,M,26
21,144,0,1,0.3429360002476243,0.6570639997523757,830,41875,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,BRUNEI DARUSSALAM,39.0,0.0,,36
22,155,0,1,0.345386859773113,0.654613140226887,16848,42818,C2B,Airlines,Online,Bronze Plan,0,5,SINGAPORE,16.0,4.0,F,28
23,165,0,1,0.3392230173224625,0.6607769826775375,36336,55895,C2B,Airlines,Online,Bronze Plan,0,16,SINGAPORE,33.5,8.38,F,39
24,186,0,1,0.2931468523317784,0.7068531476682216,2830,61846,C2B,Airlines,Online,Bronze Plan,0,18,SINGAPORE,53.0,13.25,F,35
25,189,0,1,0.1753502943056956,0.8246497056943044,10018,2361,C2B,Airlines,Online,Annual Silver Plan,0,403,SINGAPORE,252.85,63.21,F,54
26,193,0,1,0.4975329953271813,0.5024670046728187,36819,44412,CCR,Travel Agency,Offline,Comprehensive Plan,0,22,THAILAND,29.0,9.57,F,54
27,196,0,1,0.3316001123765553,0.6683998876234447,47094,46493,C2B,Airlines,Online,Bronze Plan,0,47,SINGAPORE,17.5,4.38,F,25
28,201,0,1,0.3759352656545517,0.6240647343454483,27131,28082,C2B,Airlines,Online,Bronze Plan,0,12,SINGAPORE,23.0,5.75,M,45
29,206,0,1,0.3237366894531837,0.6762633105468163,42279,61448,C2B,Airlines,Online,Silver Plan,0,177,SINGAPORE,39.0,9.75,F,44
30,218,0,1,0.3009874815115282,0.6990125184884718,211,56511,C2B,Airlines,Online,Annual Silver Plan,0,403,SINGAPORE,161.0,40.25,M,47
31,220,0,1,0.39889833884951287,0.6011016611504871,29655,46750,C2B,Airlines,Online,Silver Plan,0,4,SINGAPORE,22.5,5.63,M,55
32,222,0,1,0.18990289481637612,0.8100971051836239,28696,61063,C2B,Airlines,Online,Annual Gold Plan,0,377,SINGAPORE,333.0,83.25,M,57
33,235,0,1,0.18139517942773542,0.8186048205722646,20073,45343,C2B,Airlines,Online,Annual Silver Plan,0,400,SINGAPORE,216.0,54.0,M,30
34,239,0,1,0.3977005014632292,0.6022994985367708,23486,50071,C2B,Airlines,Online,Gold Plan,0,7,SINGAPORE,82.8,20.7,M,32
35,244,0,1,0.3404904101678402,0.6595095898321598,17917,34753,C2B,Airlines,Online,Bronze Plan,0,10,SINGAPORE,17.0,4.25,F,27
36,245,0,1,0.3847612751280747,0.6152387248719253,7555,51136,C2B,Airlines,Online,Bronze Plan,0,44,SINGAPORE,16.0,4.0,F,44
37,255,0,1,0.4589391462669231,0.5410608537330769,37853,19952,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,15,FRANCE,96.0,0.0,,36
38,259,0,1,0.4887966796085389,0.5112033203914611,27392,31361,CCR,Travel Agency,Offline,Comprehensive Plan,0,177,MALAYSIA,29.0,9.57,M,53
39,264,0,1,0.32558085037696016,0.6744191496230398,33702,38601,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,0,114,JAPAN,84.0,54.6,F,61
40,270,0,1,0.3944792204458506,0.6055207795541494,397,63209,C2B,Airlines,Online,Bronze Plan,0,17,SINGAPORE,32.4,8.1,F,59
41,271,0,1,0.4042416055779653,0.5957583944220347,41924,53144,C2B,Airlines,Online,Silver Plan,0,6,SINGAPORE,22.5,5.63,M,57
42,272,0,1,0.3786713835594381,0.6213286164405619,32053,49402,C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,19.2,4.8,F,43
43,275,0,1,0.36105988346620244,0.6389401165337976,47725,48161,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,0,0,INDIA,35.25,22.91,F,24
44,300,0,1,0.34767139070742925,0.6523286092925707,9758,44413,C2B,Airlines,Online,Bronze Plan,0,9,SINGAPORE,16.0,4.0,M,29
45,303,0,1,0.1797796766519053,0.8202203233480947,35453,61860,C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,216.0,54.0,F,28
