,index,Claim_x,pred_y,0_proba,1_proba,Unnamed: 0,ID,Agency,Agency Type,Distribution Channel,Product Name,Claim_y,Duration,Destination,Net Sales,Commision (in value),Gender,Age
0,8,0,1,0.38215239572110316,0.6178476042788968,21099,41305,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,69,UNITED KINGDOM,90.0,0.0,,36
1,12,0,1,0.27458102299148734,0.7254189770085127,3585,62039,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,57,FRANCE,98.0,0.0,,35
2,23,0,1,0.4618663394579481,0.5381336605420519,48472,2735,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,172,SOUTH AFRICA,0.0,17.82,,31
3,34,0,1,0.10266046949956886,0.8973395305004311,44980,52193,C2B,Airlines,Online,Annual Silver Plan,0,366,SINGAPORE,216.0,54.0,F,31
4,37,0,1,0.40097477786849356,0.5990252221315064,17772,48690,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,66,UNITED STATES,107.0,0.0,,32
5,39,0,1,0.49767641346705194,0.5023235865329481,33196,5191,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,70,CHINA,35.0,0.0,,36
6,43,0,1,0.4620237270134312,0.5379762729865688,46878,28625,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,21,CHINA,49.0,0.0,,36
7,48,0,1,0.23903300651193116,0.7609669934880688,6294,31265,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,25,SWITZERLAND,112.0,0.0,,36
8,49,0,1,0.01841867520572027,0.9815813247942797,21838,55180,C2B,Airlines,Online,Silver Plan,0,160,SINGAPORE,288.5,72.13,M,21
9,58,0,1,0.3265955735875591,0.6734044264124409,25466,1778,C2B,Airlines,Online,Gold Plan,0,2,SINGAPORE,32.25,8.06,F,30
10,74,0,1,0.41656369067197285,0.5834363093280271,45585,58843,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,43,UNITED STATES,103.0,0.0,,33
11,77,0,1,0.3370900900211826,0.6629099099788174,21355,38498,C2B,Airlines,Online,Gold Plan,0,4,SINGAPORE,27.0,6.75,M,30
12,83,0,1,0.2539304396122314,0.7460695603877686,16602,44032,CCR,Travel Agency,Offline,Comprehensive Plan,0,30,THAILAND,29.0,9.57,M,26
