,index,Claim_x,pred_y,0_proba,1_proba,Unnamed: 0,ID,Agency,Agency Type,Distribution Channel,Product Name,Claim_y,Duration,Destination,Net Sales,Commision (in value),Gender,Age
0,38,1,0,0.761841128433556,0.23815887156644394,42527,31691,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,12,THAILAND,79.2,47.52,,60
1,46,1,0,0.18072289156626506,0.8192771084337349,39159,2543,C2B,Airlines,Online,Annual Silver Plan,1,368,SINGAPORE,389.0,97.25,F,41
2,70,1,0,0.18072289156626506,0.8192771084337349,29007,43504,C2B,Airlines,Online,Silver Plan,1,90,SINGAPORE,507.0,126.75,M,32
3,114,1,0,0.18072289156626506,0.8192771084337349,50528,46959,C2B,Airlines,Online,Annual Gold Plan,1,416,SINGAPORE,287.4,71.85,M,27
4,262,1,0,0.761841128433556,0.23815887156644394,30769,28154,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,22,UNITED STATES,112.0,0.0,,42
5,330,1,0,0.2327113062568606,0.7672886937431395,30591,40073,C2B,Airlines,Online,Silver Plan,1,29,SINGAPORE,48.5,12.13,F,28
6,437,1,0,0.999397045523063,0.0006029544769369913,39488,29565,EPX,Travel Agency,Online,Cancellation Plan,1,21,THAILAND,38.0,0.0,,36
7,651,1,0,0.30676883780332054,0.6932311621966795,42771,43857,C2B,Airlines,Online,Bronze Plan,1,33,SINGAPORE,16.0,4.0,F,32
8,730,1,0,0.3554274735830932,0.6445725264169068,17829,55686,LWC,Travel Agency,Online,Annual Travel Protect Gold,1,370,CHINA,204.6,132.99,M,39
9,740,1,0,0.761841128433556,0.23815887156644394,10831,2762,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,55,FINLAND,100.0,0.0,,36
10,761,1,0,0.30676883780332054,0.6932311621966795,20314,38784,C2B,Airlines,Online,Bronze Plan,1,18,SINGAPORE,34.5,8.63,F,30
11,839,1,0,0.761841128433556,0.23815887156644394,38723,5826,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,46,UNITED STATES,112.0,0.0,,50
12,877,1,0,0.761841128433556,0.23815887156644394,22497,50373,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,64,AUSTRALIA,178.2,106.92,,53
13,1047,1,0,0.46646795827123694,0.533532041728763,11153,57335,C2B,Airlines,Online,Silver Plan,1,14,SINGAPORE,47.5,11.88,M,22
14,1368,1,0,0.761841128433556,0.23815887156644394,1780,13784,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,79,ITALY,52.0,0.0,,36
15,1445,1,0,1.0,0.0,40606,50844,EPX,Travel Agency,Online,Cancellation Plan,1,47,THAILAND,20.0,0.0,,36
16,1457,1,0,0.2327113062568606,0.7672886937431395,18549,45331,C2B,Airlines,Online,Silver Plan,1,24,SINGAPORE,144.0,36.0,F,42
17,1833,1,0,0.761841128433556,0.23815887156644394,17514,37646,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,20,"KOREA, REPUBLIC OF",46.0,0.0,,36
18,1847,1,0,0.2327113062568606,0.7672886937431395,748,51854,C2B,Airlines,Online,Silver Plan,1,20,SINGAPORE,72.0,18.0,F,29
19,2160,1,0,0.9818585708996668,0.01814142910033321,36076,40210,JZI,Airlines,Online,Value Plan,1,8,CHINA,45.0,15.75,M,45
20,2315,1,0,0.9818585708996668,0.01814142910033321,32482,43000,JZI,Airlines,Online,Value Plan,1,105,"KOREA, REPUBLIC OF",45.0,15.75,F,19
21,2344,1,0,0.2327113062568606,0.7672886937431395,37669,2212,C2B,Airlines,Online,Silver Plan,1,10,SINGAPORE,50.0,12.5,F,50
22,2430,1,0,0.30676883780332054,0.6932311621966795,34041,28089,C2B,Airlines,Online,Bronze Plan,1,22,SINGAPORE,40.5,10.13,F,30
23,2434,1,0,0.2327113062568606,0.7672886937431395,20758,29428,C2B,Airlines,Online,Silver Plan,1,68,SINGAPORE,127.0,31.75,M,34
24,2621,1,0,0.999397045523063,0.0006029544769369913,31969,57457,EPX,Travel Agency,Online,Cancellation Plan,1,6,JAPAN,17.0,0.0,,36
25,2625,1,0,0.30676883780332054,0.6932311621966795,2590,18559,C2B,Airlines,Online,Bronze Plan,1,10,SINGAPORE,38.35,9.59,F,26
26,2702,1,0,0.761841128433556,0.23815887156644394,41428,43724,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,95,PHILIPPINES,23.0,0.0,,36
27,2816,1,0,0.999397045523063,0.0006029544769369913,38863,54291,EPX,Travel Agency,Online,Cancellation Plan,1,8,INDONESIA,12.0,0.0,,45
28,2824,1,0,0.30676883780332054,0.6932311621966795,50556,42194,C2B,Airlines,Online,Bronze Plan,1,43,SINGAPORE,33.5,8.38,M,29
29,2834,1,0,0.9485879797248371,0.05141202027516292,47215,50261,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,43,VIET NAM,20.0,0.0,,36
30,2843,1,0,0.2327113062568606,0.7672886937431395,2530,46073,C2B,Airlines,Online,Silver Plan,1,91,SINGAPORE,56.5,14.13,F,18
31,2848,1,0,0.761841128433556,0.23815887156644394,23982,49606,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,74,ITALY,49.5,29.7,,26
32,3105,1,0,0.30676883780332054,0.6932311621966795,6563,52167,C2B,Airlines,Online,Bronze Plan,1,5,SINGAPORE,21.0,5.25,F,32
33,3132,1,0,0.761841128433556,0.23815887156644394,27956,43891,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,85,ICELAND,59.4,35.64,,61
34,3313,1,0,0.46646795827123694,0.533532041728763,47550,33437,C2B,Airlines,Online,Silver Plan,1,18,SINGAPORE,24.5,6.13,M,30
35,3392,1,0,0.6434782608695652,0.3565217391304348,48437,61036,C2B,Airlines,Online,Bronze Plan,1,3,SINGAPORE,19.2,4.8,M,24
36,3454,1,0,0.761841128433556,0.23815887156644394,46272,6605,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,66,THAILAND,22.0,0.0,,36
37,3497,1,0,0.761841128433556,0.23815887156644394,21283,40128,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,129,HONG KONG,48.0,0.0,,36
38,3515,1,0,0.761841128433556,0.23815887156644394,21143,4959,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,51,GERMANY,79.2,47.52,,58
39,3605,1,0,0.9736842105263158,0.02631578947368421,15636,34205,C2B,Airlines,Online,Gold Plan,1,14,SINGAPORE,76.5,19.13,F,51
40,3796,1,0,0.761841128433556,0.23815887156644394,34075,38938,EPX,Travel Agency,Online,1 way Comprehensive Plan,1,3,AUSTRALIA,50.0,0.0,,36
41,4064,1,0,0.9485879797248371,0.05141202027516292,26461,42101,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,36,MACAO,20.0,0.0,,58
42,4071,1,0,0.9960822722820764,0.0039177277179236044,17937,51115,JZI,Airlines,Online,Basic Plan,1,31,INDONESIA,18.0,6.3,F,44
43,4279,1,0,0.761841128433556,0.23815887156644394,25361,25365,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,36,HONG KONG,68.0,0.0,,36
44,4314,1,0,0.18072289156626506,0.8192771084337349,33887,4071,C2B,Airlines,Online,Annual Gold Plan,1,386,SINGAPORE,449.25,112.31,F,36
45,4330,1,0,0.761841128433556,0.23815887156644394,8383,10215,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,32,AUSTRALIA,178.2,106.92,,36
46,4387,1,0,0.9818585708996668,0.01814142910033321,38566,24365,JZI,Airlines,Online,Value Plan,1,46,UNITED STATES,138.0,48.3,M,56
47,4695,1,0,0.2327113062568606,0.7672886937431395,20254,45729,C2B,Airlines,Online,Annual Silver Plan,1,401,SINGAPORE,216.0,54.0,F,27
48,4783,1,0,0.761841128433556,0.23815887156644394,46719,5603,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,39,AUSTRALIA,69.3,41.58,,37
49,4825,1,0,0.761841128433556,0.23815887156644394,15716,53017,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,66,PHILIPPINES,50.0,0.0,,36
50,4834,1,0,0.9960822722820764,0.0039177277179236044,30798,14779,JZI,Airlines,Online,Basic Plan,1,14,THAILAND,18.0,6.3,F,44
51,4912,1,0,0.9818585708996668,0.01814142910033321,28753,23522,JZI,Airlines,Online,Basic Plan,1,55,CHINA,26.0,9.1,F,37
52,4969,1,0,0.761841128433556,0.23815887156644394,17824,59017,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,47,"KOREA, REPUBLIC OF",42.0,0.0,,23
53,4982,1,0,0.9960822722820764,0.0039177277179236044,43459,23760,JZI,Airlines,Online,Basic Plan,1,44,THAILAND,18.0,6.3,M,67
54,5040,1,0,0.2327113062568606,0.7672886937431395,8682,19012,C2B,Airlines,Online,Silver Plan,1,18,SINGAPORE,93.6,23.4,M,65
55,5202,1,0,0.9485879797248371,0.05141202027516292,21079,8152,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,48,INDIA,21.0,0.0,,36
56,5219,1,0,0.6434782608695652,0.3565217391304348,34093,51143,C2B,Airlines,Online,Bronze Plan,1,2,SINGAPORE,27.0,6.75,F,37
57,5341,1,0,0.46646795827123694,0.533532041728763,38833,51654,C2B,Airlines,Online,Silver Plan,1,27,SINGAPORE,18.5,4.63,F,28
58,5402,1,0,0.761841128433556,0.23815887156644394,44711,27060,KML,Travel Agency,Online,Value Plan,1,18,INDONESIA,28.0,10.64,F,48
59,5419,1,0,0.761841128433556,0.23815887156644394,39700,36630,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,41,UNITED KINGDOM,118.8,71.28,,31
60,5472,1,0,0.46646795827123694,0.533532041728763,16573,54759,C2B,Airlines,Online,Silver Plan,1,27,SINGAPORE,47.5,11.88,F,28
61,5674,1,0,0.761841128433556,0.23815887156644394,13808,15795,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,90,JAPAN,46.0,0.0,,36
62,5766,1,0,0.761841128433556,0.23815887156644394,23171,19243,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,74,NETHERLANDS,112.0,0.0,,36
63,5816,1,0,0.9818585708996668,0.01814142910033321,14249,60720,JWT,Airlines,Online,Value Plan,1,25,INDIA,78.0,31.2,F,118
64,5920,1,0,0.9736842105263158,0.02631578947368421,456,57175,C2B,Airlines,Online,Gold Plan,1,36,SINGAPORE,105.6,26.4,M,32
65,6019,1,0,0.30676883780332054,0.6932311621966795,9719,46260,C2B,Airlines,Online,Bronze Plan,1,20,SINGAPORE,27.0,6.75,M,36
66,6171,1,0,0.761841128433556,0.23815887156644394,38819,47255,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,86,AUSTRALIA,108.9,65.34,,31
67,6231,1,0,0.01649746192893401,0.983502538071066,28925,47586,C2B,Airlines,Online,Silver Plan,1,93,SINGAPORE,253.5,63.38,F,46
68,6343,1,0,0.18072289156626506,0.8192771084337349,46754,10951,C2B,Airlines,Online,Annual Silver Plan,1,382,SINGAPORE,291.75,72.94,F,29
69,6431,1,0,0.9978824775013234,0.0021175224986765486,43522,18431,EPX,Travel Agency,Online,Cancellation Plan,1,266,MALAYSIA,10.0,0.0,,36
70,6763,1,0,0.9960822722820764,0.0039177277179236044,12974,25425,EPX,Travel Agency,Online,1 way Comprehensive Plan,1,3,VIET NAM,20.0,0.0,,39
71,6792,1,0,0.30676883780332054,0.6932311621966795,19908,38961,C2B,Airlines,Online,Bronze Plan,1,13,SINGAPORE,47.0,11.75,M,38
72,6937,1,0,1.0,0.0,27417,38121,C2B,Airlines,Online,Silver Plan,1,5,SINGAPORE,15.0,3.75,F,35
73,7059,1,0,0.761841128433556,0.23815887156644394,38,53097,KML,Travel Agency,Online,Premier Plan,1,21,INDONESIA,38.0,14.44,F,48
74,7068,1,0,0.2327113062568606,0.7672886937431395,17894,61459,C2B,Airlines,Online,Silver Plan,1,33,SINGAPORE,112.5,28.13,F,74
75,7138,1,0,1.0,0.0,284,51478,C2B,Airlines,Online,Bronze Plan,1,115,SINGAPORE,33.5,8.38,M,40
